,hhid,idind,wave,indbusimp,indbus,indfarmimp,indfarm,indfishimp,indfish,indgardimp,indgard,indlvstimp,indlvst,indret,indretimp,indwage,indwageimp,indinc,indincimp,commid,t1,urban,cpi1988,cpi2015,index_new,index_old,indinc_cpi
60359,211208005.0,211208005001.0,2009.0,,,,,,,,,,,24000.0,0.0,2000.0,0.0,26000.0,0.0,211208.0,21.0,0.0,2.52,0.74,0.74,2.52,35135.13513513513
60360,211208005.0,211208005002.0,2009.0,,,,,,,,,,,9960.0,0.0,,,9960.0,0.0,211208.0,21.0,0.0,2.52,0.74,0.74,2.52,13459.45945945946
60361,211208006.0,211208006002.0,2009.0,,,,,,,,,,,10800.0,0.0,,,10800.0,0.0,211208.0,21.0,0.0,2.52,0.74,0.74,2.52,14594.594594594595
60362,211208006.0,211208006003.0,2009.0,,,,,,,,,,,,,24500.0,0.0,24500.0,0.0,211208.0,21.0,0.0,2.52,0.74,0.74,2.52,33108.10810810811
60363,211208006.0,211208006121.0,2009.0,,,,,,,,,,,,,8400.0,0.0,8400.0,0.0,211208.0,21.0,0.0,2.52,0.74,0.74,2.52,11351.351351351352
60364,211208008.0,211208008001.0,2009.0,,,,,,,,,,,,,15000.0,0.0,15000.0,0.0,211208.0,21.0,0.0,2.52,0.74,0.74,2.52,20270.27027027027
60365,211208008.0,211208008003.0,2009.0,,,,,,,,,,,,,1000.0,0.0,1000.0,0.0,211208.0,21.0,0.0,2.52,0.74,0.74,2.52,1351.3513513513515
60366,211208009.0,211208009001.0,2009.0,,,,,,,,,,,10800.0,0.0,,,10800.0,0.0,211208.0,21.0,0.0,2.52,0.74,0.74,2.52,14594.594594594595
60367,211208010.0,211208010001.0,2009.0,,,,,,,,,,,13200.0,0.0,,,13200.0,0.0,211208.0,21.0,0.0,2.52,0.74,0.74,2.52,17837.837837837837
60368,211208010.0,211208010002.0,2009.0,,,,,,,,,,,8400.0,0.0,,,8400.0,0.0,211208.0,21.0,0.0,2.52,0.74,0.74,2.52,11351.351351351352
